country,pri_2015,low_2015,upp_2015,col_2015,pri_2025,low_2025,upp_2025,col_2025,pri_1960,low_1960,upp_1960,col_1960,pri_1975,low_1975,pri_1990,low_1990,pri_2005,low_2005,edu_score_2015,edu_score_1960,ladder_score_2015,ladder_score_1960,ladder_score_2025,gain_1960_2015,year_crossed_60pct_primary,gender_gap_primary_2015,gender_gap_lowsec_2015,sequential_gap_2015,peak_decade,peak_decade_gain,archetype,trajectory,world_rank_2015,world_rank_gain,world_rank_speed
Republic of Moldova,99.9,98.1,77.1,16.0,99.8,98.2,82.7,17.3,91.8,52.1,24.9,5.9,99.3,95.2,99.5,98.0,99.4,97.3,72.7,43.7,63.0,33.5,65.1,29.0,1960.0,0.0,0.0,1.8,1960–1970,18.5,Universal,Strong Progress,79,118,38
Guadeloupe,98.8,91.8,77.4,18.9,98.8,93.5,81.1,19.9,72.5,35.5,18.7,4.1,88.3,57.4,95.2,78.7,98.0,89.5,71.7,32.7,62.7,24.7,64.4,39.1,1960.0,0.0,0.0,7.1,1970–1980,9.7,Universal,Strong Progress,80,79,38
Philippines,92.4,81.2,77.1,27.5,94.0,85.5,82.3,30.2,57.0,24.2,22.2,6.1,77.9,46.5,86.8,64.2,91.3,77.0,69.6,27.4,62.5,21.9,66.1,42.2,1965.0,0.0,0.0,11.2,1960–1970,11.5,Secondary Building,Large Gain,81,63,81
Oman,95.9,88.8,82.3,16.1,97.7,93.9,89.2,18.4,4.3,3.5,2.7,0.5,14.7,12.2,50.7,38.8,89.9,76.6,70.8,2.7,62.0,2.3,66.1,68.0,1995.0,0.0,0.0,7.1,1990–2000,23.9,Universal,Large Gain,82,4,133
The former Yugoslav Republic of Macedonia,96.3,94.8,83.8,10.1,97.1,96.1,88.7,10.9,40.4,24.1,16.7,2.1,80.3,63.8,91.3,85.8,95.9,93.4,71.2,20.8,61.6,16.5,63.7,50.4,1970.0,0.0,0.0,1.5,1960–1970,20.9,Universal,Large Gain,83,37,91
Tajikistan,97.0,96.2,76.6,12.3,100.0,99.6,83.9,13.7,91.8,65.3,32.2,8.4,98.7,94.0,99.2,96.8,98.8,96.9,70.5,49.4,60.7,39.3,64.5,21.1,1960.0,0.0,0.0,0.8,1960–1970,15.4,Universal,Moderate Progress,84,148,38
Saint Vincent and the Grenadines,99.5,82.7,67.7,24.5,99.3,88.4,76.6,27.3,81.5,11.6,8.9,5.6,94.0,29.3,97.0,49.3,98.5,72.1,68.6,26.9,60.0,18.7,64.7,41.7,1960.0,0.0,0.0,16.9,2000–2010,9.3,Secondary Building,Large Gain,85,66,38
Denmark,100.0,100.0,73.5,8.7,100.0,100.0,87.7,20.0,99.8,99.7,35.9,2.2,99.7,99.2,99.7,98.8,100.0,99.8,70.5,59.4,59.8,46.6,67.9,11.1,1960.0,0.0,0.0,0.0,1960–1970,4.8,Universal,Moderate Progress,86,184,38
Reunion,99.0,91.6,69.6,17.2,98.8,95.0,75.6,18.5,59.9,21.5,11.5,3.6,82.4,40.2,92.4,64.3,98.1,87.5,69.3,24.1,59.8,17.8,62.7,45.2,1965.0,0.0,0.0,7.5,1990–2000,10.2,Secondary Building,Large Gain,87,54,81
Colombia,93.0,80.3,70.1,24.7,100.0,100.0,100.0,49.6,40.8,13.3,9.3,3.2,63.0,31.1,79.5,48.1,89.5,68.0,67.0,16.6,59.3,12.5,82.0,50.4,1975.0,0.0,0.0,12.7,2010–2020,22.5,Secondary Building,Large Gain,88,39,101
Iceland,99.9,99.9,67.8,8.4,100.0,100.0,83.5,19.7,100.0,99.9,23.1,1.9,100.0,99.9,100.0,99.9,100.0,100.0,69.0,56.2,58.1,43.0,66.6,12.8,1960.0,0.0,0.0,0.0,1960–1970,4.2,Secondary Building,Moderate Progress,89,177,38
Egypt,77.5,74.5,70.3,28.0,100.0,100.0,100.0,55.1,9.3,7.2,5.8,1.9,21.6,18.8,41.4,38.7,65.6,62.8,62.6,6.1,57.1,5.2,84.0,56.5,2005.0,0.0,0.0,3.1,2010–2020,31.4,Primary Building,Large Gain,90,20,145
Botswana,95.0,88.2,59.7,21.2,100.0,100.0,98.1,51.7,9.6,4.2,3.0,1.3,37.2,13.9,77.5,39.1,92.5,69.3,66.0,4.5,57.1,3.6,82.2,61.5,1985.0,0.0,0.0,6.8,2010–2020,20.6,Secondary Building,Large Gain,91,12,116
Tunisia,97.2,93.3,55.1,21.0,98.9,98.0,67.4,25.9,4.5,1.4,0.5,0.1,35.0,12.7,63.7,28.1,90.7,69.9,66.6,1.6,57.1,1.1,63.6,65.0,1990.0,0.0,0.0,3.9,2000–2010,21.2,Secondary Building,Large Gain,92,5,126
Dominican Republic,89.5,84.1,61.2,24.2,93.9,90.9,71.9,28.5,22.5,15.6,6.5,1.9,45.0,34.4,71.9,59.6,83.4,74.8,64.8,11.7,57.0,9.1,63.6,53.1,1985.0,0.0,0.0,5.4,1970–1980,13.6,Secondary Building,Large Gain,93,26,116
Tonga,99.6,97.2,52.5,19.2,99.6,98.4,65.6,23.9,93.8,36.8,6.0,2.7,96.8,53.1,98.5,83.5,99.2,93.7,67.1,34.8,56.9,24.0,62.6,32.3,1960.0,0.0,0.0,2.4,1970–1980,7.1,Secondary Building,Strong Progress,94,109,38
Algeria,86.2,79.1,58.8,30.3,88.3,82.9,67.2,35.5,4.8,2.0,0.7,0.3,27.9,15.7,59.3,45.3,82.1,73.1,63.6,2.0,56.9,1.4,62.3,61.6,1995.0,0.0,0.0,7.1,1990–2000,15.2,Secondary Building,Large Gain,95,11,133
Argentina,91.7,78.5,62.1,25.7,100.0,100.0,95.0,54.2,68.5,24.7,18.3,5.7,81.5,43.6,89.7,58.0,92.5,70.7,64.5,29.3,56.8,22.3,82.2,35.2,1960.0,0.0,0.0,13.3,2010–2020,22.1,Secondary Building,Strong Progress,96,91,38
Bolivia (Plurinational State of),94.8,83.6,62.3,21.1,100.0,100.0,98.8,50.1,27.1,18.3,10.7,3.1,41.4,29.5,62.5,43.7,85.0,69.3,65.5,14.8,56.8,11.9,81.8,50.7,1990.0,0.0,0.0,11.2,2010–2020,22.0,Secondary Building,Large Gain,97,36,126
Turkey,90.7,90.1,58.9,21.5,95.3,95.0,69.0,25.5,38.2,6.8,3.6,0.8,68.9,18.5,91.0,45.8,93.4,65.5,65.3,12.3,56.8,8.2,62.8,53.0,1975.0,0.0,0.0,0.5,2000–2010,14.8,Secondary Building,Large Gain,98,28,101
Panama,93.7,80.9,64.8,20.6,100.0,100.0,89.7,39.8,55.8,26.7,17.2,3.2,77.3,48.8,88.9,63.9,91.5,73.7,65.0,25.8,56.6,19.8,75.5,39.2,1965.0,0.0,0.0,12.8,2010–2020,18.5,Secondary Building,Strong Progress,99,78,81
